,Weekly Decay,Daily Decay,Key,Feature Set,MSE Nov,MA Nov,MA (Tier) Nov,MSE Dec,MA Dec,MA (Tier) Dec,Eval MSE,Eval MA,Eval MA (Tier)
0,0.7071067811865476,0,1,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Positivity_Rate_7_4dayago', 'Positivity_Rate_7_5dayago', 'Positivity_Rate_7_6dayago', 'Pressure_7_Adj100k_1dayago']",0.0002879150583728402,0.5047619047619049,0.43809523809523804,0.00019044588330502786,0.6912442396313364,0.6405529953917052,0.00023838154317444378,0.5995316159250585,0.5409836065573771
1,0.7071067811865476,0,2,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Positivity_Rate_7_4dayago', 'Positivity_Rate_7_5dayago', 'Positivity_Rate_7_6dayago', 'Diff Pressure_7_Adj100k_1dayago']",0.0002863411361722223,0.5,0.41904761904761895,0.00022398209978202348,0.5990783410138248,0.5207373271889401,0.00025465047833458026,0.550351288056206,0.47072599531615916
2,0.7071067811865476,0,3,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Positivity_Rate_7_4dayago', 'Positivity_Rate_7_5dayago', 'Positivity_Rate_7_6dayago', 'Excess Pressure_7_Adj100k_1dayago']",0.00017799212905187653,0.5714285714285714,0.5476190476190476,0.0001217748017946564,0.7188940092165899,0.672811059907834,0.00014942266765886303,0.6463700234192038,0.6112412177985947
3,0.7071067811865476,0,4,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Positivity_Rate_7_4dayago', 'Positivity_Rate_7_5dayago', 'Positivity_Rate_7_6dayago']",0.00022923888480016718,0.5523809523809524,0.4904761904761905,0.00013344983791460356,0.695852534562212,0.6267281105990783,0.00018055920523537254,0.6252927400468383,0.5597189695550351
4,0.7071067811865476,0,5,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Pressure_7_Adj100k_1dayago']",0.00021582274364392493,0.5238095238095238,0.5190476190476191,0.0001402624140715246,0.6912442396313364,0.6682027649769585,0.00017742323189401656,0.6088992974238875,0.5948477751756441
5,0.7071067811865476,0,6,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Diff Pressure_7_Adj100k_1dayago']",0.0002366586926857023,0.5428571428571428,0.49523809523809526,0.0002481776154511829,0.5990783410138248,0.4746543778801843,0.00024251257146815964,0.5714285714285714,0.4847775175644028
7,0.7071067811865476,0,8,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago']",0.0001458068686651075,0.6285714285714287,0.5904761904761905,0.0001449614216590764,0.663594470046083,0.5852534562211982,0.0001453772152685999,0.6463700234192038,0.5878220140515223
8,0.7071067811865476,0,9,"['Positivity_Rate_7_1dayago', 'Pressure_7_Adj100k_1dayago']",0.0001928496050442919,0.5095238095238096,0.5190476190476191,0.00018946316261964625,0.6267281105990784,0.6175115207373272,0.00019112862610717692,0.5690866510538644,0.5690866510538641
9,0.7071067811865476,0,10,"['Positivity_Rate_7_1dayago', 'Diff Pressure_7_Adj100k_1dayago']",0.0002119831825551871,0.5476190476190477,0.5619047619047619,0.0003338151423457697,0.5622119815668203,0.42857142857142855,0.00027389778507171266,0.5550351288056207,0.49414519906323184
10,0.7071067811865476,0,11,"['Positivity_Rate_7_1dayago', 'Excess Pressure_7_Adj100k_1dayago']",0.00011843265435996612,0.6428571428571429,0.6285714285714287,0.0001541805042767773,0.6682027649769585,0.5898617511520737,0.00013659959448162427,0.6557377049180327,0.6088992974238876
